_record_id,_dataset_id,_record_type,_version,_is_deleted,pada_id,nakshatra_name,nakshatra_id,pada_number,navamsha_rashi,start_degree,end_degree
ASTRO-REC-PADA-000026,ASTRO-RF-PADA-v1.0.0,reference,1,false,26,punarvasu,7,2,taurus,83.333333,86.666667
ASTRO-REC-PADA-000027,ASTRO-RF-PADA-v1.0.0,reference,1,false,27,punarvasu,7,3,gemini,86.666667,90.0
ASTRO-REC-PADA-000028,ASTRO-RF-PADA-v1.0.0,reference,1,false,28,punarvasu,7,4,cancer,90.0,93.333333
ASTRO-REC-PADA-000029,ASTRO-RF-PADA-v1.0.0,reference,1,false,29,pushya,8,1,leo,93.333333,96.666667
ASTRO-REC-PADA-000030,ASTRO-RF-PADA-v1.0.0,reference,1,false,30,pushya,8,2,virgo,96.666667,100.0
ASTRO-REC-PADA-000031,ASTRO-RF-PADA-v1.0.0,reference,1,false,31,pushya,8,3,libra,100.0,103.333333
ASTRO-REC-PADA-000032,ASTRO-RF-PADA-v1.0.0,reference,1,false,32,pushya,8,4,scorpio,103.333333,106.666667
ASTRO-REC-PADA-000033,ASTRO-RF-PADA-v1.0.0,reference,1,false,33,ashlesha,9,1,sagittarius,106.666667,110.0
ASTRO-REC-PADA-000034,ASTRO-RF-PADA-v1.0.0,reference,1,false,34,ashlesha,9,2,capricorn,110.0,113.333333
ASTRO-REC-PADA-000035,ASTRO-RF-PADA-v1.0.0,reference,1,false,35,ashlesha,9,3,aquarius,113.333333,116.666667
ASTRO-REC-PADA-000036,ASTRO-RF-PADA-v1.0.0,reference,1,false,36,ashlesha,9,4,pisces,116.666667,120.0
ASTRO-REC-PADA-000037,ASTRO-RF-PADA-v1.0.0,reference,1,false,37,magha,10,1,aries,120.0,123.333333
ASTRO-REC-PADA-000038,ASTRO-RF-PADA-v1.0.0,reference,1,false,38,magha,10,2,taurus,123.333333,126.666667
ASTRO-REC-PADA-000039,ASTRO-RF-PADA-v1.0.0,reference,1,false,39,magha,10,3,gemini,126.666667,130.0
ASTRO-REC-PADA-000040,ASTRO-RF-PADA-v1.0.0,reference,1,false,40,magha,10,4,cancer,130.0,133.333333
ASTRO-REC-PADA-000041,ASTRO-RF-PADA-v1.0.0,reference,1,false,41,purva_phalguni,11,1,leo,133.333333,136.666667
ASTRO-REC-PADA-000042,ASTRO-RF-PADA-v1.0.0,reference,1,false,42,purva_phalguni,11,2,virgo,136.666667,140.0
ASTRO-REC-PADA-000043,ASTRO-RF-PADA-v1.0.0,reference,1,false,43,purva_phalguni,11,3,libra,140.0,143.333333
ASTRO-REC-PADA-000044,ASTRO-RF-PADA-v1.0.0,reference,1,false,44,purva_phalguni,11,4,scorpio,143.333333,146.666667
ASTRO-REC-PADA-000045,ASTRO-RF-PADA-v1.0.0,reference,1,false,45,uttara_phalguni,12,1,sagittarius,146.666667,150.0
ASTRO-REC-PADA-000046,ASTRO-RF-PADA-v1.0.0,reference,1,false,46,uttara_phalguni,12,2,capricorn,150.0,153.333333
ASTRO-REC-PADA-000047,ASTRO-RF-PADA-v1.0.0,reference,1,false,47,uttara_phalguni,12,3,aquarius,153.333333,156.666667
ASTRO-REC-PADA-000048,ASTRO-RF-PADA-v1.0.0,reference,1,false,48,uttara_phalguni,12,4,pisces,156.666667,160.0
ASTRO-REC-PADA-000049,ASTRO-RF-PADA-v1.0.0,reference,1,false,49,hasta,13,1,aries,160.0,163.333333
ASTRO-REC-PADA-000050,ASTRO-RF-PADA-v1.0.0,reference,1,false,50,hasta,13,2,taurus,163.333333,166.666667
ASTRO-REC-PADA-000051,ASTRO-RF-PADA-v1.0.0,reference,1,false,51,hasta,13,3,gemini,166.666667,170.0
ASTRO-REC-PADA-000052,ASTRO-RF-PADA-v1.0.0,reference,1,false,52,hasta,13,4,cancer,170.0,173.333333
ASTRO-REC-PADA-000053,ASTRO-RF-PADA-v1.0.0,reference,1,false,53,chitra,14,1,leo,173.333333,176.666667
ASTRO-REC-PADA-000054,ASTRO-RF-PADA-v1.0.0,reference,1,false,54,chitra,14,2,virgo,176.666667,180.0
ASTRO-REC-PADA-000055,ASTRO-RF-PADA-v1.0.0,reference,1,false,55,chitra,14,3,libra,180.0,183.333333
ASTRO-REC-PADA-000056,ASTRO-RF-PADA-v1.0.0,reference,1,false,56,chitra,14,4,scorpio,183.333333,186.666667
ASTRO-REC-PADA-000057,ASTRO-RF-PADA-v1.0.0,reference,1,false,57,swati,15,1,sagittarius,186.666667,190.0
ASTRO-REC-PADA-000058,ASTRO-RF-PADA-v1.0.0,reference,1,false,58,swati,15,2,capricorn,190.0,193.333333
ASTRO-REC-PADA-000059,ASTRO-RF-PADA-v1.0.0,reference,1,false,59,swati,15,3,aquarius,193.333333,196.666667
ASTRO-REC-PADA-000060,ASTRO-RF-PADA-v1.0.0,reference,1,false,60,swati,15,4,pisces,196.666667,200.0
ASTRO-REC-PADA-000061,ASTRO-RF-PADA-v1.0.0,reference,1,false,61,vishakha,16,1,aries,200.0,203.333333
ASTRO-REC-PADA-000062,ASTRO-RF-PADA-v1.0.0,reference,1,false,62,vishakha,16,2,taurus,203.333333,206.666667
ASTRO-REC-PADA-000063,ASTRO-RF-PADA-v1.0.0,reference,1,false,63,vishakha,16,3,gemini,206.666667,210.0
ASTRO-REC-PADA-000064,ASTRO-RF-PADA-v1.0.0,reference,1,false,64,vishakha,16,4,cancer,210.0,213.333333
ASTRO-REC-PADA-000065,ASTRO-RF-PADA-v1.0.0,reference,1,false,65,anuradha,17,1,leo,213.333333,216.666667
ASTRO-REC-PADA-000066,ASTRO-RF-PADA-v1.0.0,reference,1,false,66,anuradha,17,2,virgo,216.666667,220.0
ASTRO-REC-PADA-000067,ASTRO-RF-PADA-v1.0.0,reference,1,false,67,anuradha,17,3,libra,220.0,223.333333
ASTRO-REC-PADA-000068,ASTRO-RF-PADA-v1.0.0,reference,1,false,68,anuradha,17,4,scorpio,223.333333,226.666667
ASTRO-REC-PADA-000069,ASTRO-RF-PADA-v1.0.0,reference,1,false,69,jyeshtha,18,1,sagittarius,226.666667,230.0
ASTRO-REC-PADA-000070,ASTRO-RF-PADA-v1.0.0,reference,1,false,70,jyeshtha,18,2,capricorn,230.0,233.333333
ASTRO-REC-PADA-000071,ASTRO-RF-PADA-v1.0.0,reference,1,false,71,jyeshtha,18,3,aquarius,233.333333,236.666667
ASTRO-REC-PADA-000072,ASTRO-RF-PADA-v1.0.0,reference,1,false,72,jyeshtha,18,4,pisces,236.666667,240.0
ASTRO-REC-PADA-000073,ASTRO-RF-PADA-v1.0.0,reference,1,false,73,mula,19,1,aries,240.0,243.333333
ASTRO-REC-PADA-000074,ASTRO-RF-PADA-v1.0.0,reference,1,false,74,mula,19,2,taurus,243.333333,246.666667
ASTRO-REC-PADA-000075,ASTRO-RF-PADA-v1.0.0,reference,1,false,75,mula,19,3,gemini,246.666667,250.0
ASTRO-REC-PADA-000076,ASTRO-RF-PADA-v1.0.0,reference,1,false,76,mula,19,4,cancer,250.0,253.333333
ASTRO-REC-PADA-000077,ASTRO-RF-PADA-v1.0.0,reference,1,false,77,purva_ashadha,20,1,leo,253.333333,256.666667
ASTRO-REC-PADA-000078,ASTRO-RF-PADA-v1.0.0,reference,1,false,78,purva_ashadha,20,2,virgo,256.666667,260.0
ASTRO-REC-PADA-000079,ASTRO-RF-PADA-v1.0.0,reference,1,false,79,purva_ashadha,20,3,libra,260.0,263.333333
ASTRO-REC-PADA-000080,ASTRO-RF-PADA-v1.0.0,reference,1,false,80,purva_ashadha,20,4,scorpio,263.333333,266.666667
ASTRO-REC-PADA-000081,ASTRO-RF-PADA-v1.0.0,reference,1,false,81,uttara_ashadha,21,1,sagittarius,266.666667,270.0
ASTRO-REC-PADA-000082,ASTRO-RF-PADA-v1.0.0,reference,1,false,82,uttara_ashadha,21,2,capricorn,270.0,273.333333
ASTRO-REC-PADA-000083,ASTRO-RF-PADA-v1.0.0,reference,1,false,83,uttara_ashadha,21,3,aquarius,273.333333,276.666667
ASTRO-REC-PADA-000084,ASTRO-RF-PADA-v1.0.0,reference,1,false,84,uttara_ashadha,21,4,pisces,276.666667,280.0
ASTRO-REC-PADA-000085,ASTRO-RF-PADA-v1.0.0,reference,1,false,85,shravana,22,1,aries,280.0,283.333333
ASTRO-REC-PADA-000086,ASTRO-RF-PADA-v1.0.0,reference,1,false,86,shravana,22,2,taurus,283.333333,286.666667
ASTRO-REC-PADA-000087,ASTRO-RF-PADA-v1.0.0,reference,1,false,87,shravana,22,3,gemini,286.666667,290.0
ASTRO-REC-PADA-000088,ASTRO-RF-PADA-v1.0.0,reference,1,false,88,shravana,22,4,cancer,290.0,293.333333
ASTRO-REC-PADA-000089,ASTRO-RF-PADA-v1.0.0,reference,1,false,89,dhanishtha,23,1,leo,293.333333,296.666667
ASTRO-REC-PADA-000090,ASTRO-RF-PADA-v1.0.0,reference,1,false,90,dhanishtha,23,2,virgo,296.666667,300.0
ASTRO-REC-PADA-000091,ASTRO-RF-PADA-v1.0.0,reference,1,false,91,dhanishtha,23,3,libra,300.0,303.333333
ASTRO-REC-PADA-000092,ASTRO-RF-PADA-v1.0.0,reference,1,false,92,dhanishtha,23,4,scorpio,303.333333,306.666667
ASTRO-REC-PADA-000093,ASTRO-RF-PADA-v1.0.0,reference,1,false,93,shatabhisha,24,1,sagittarius,306.666667,310.0
ASTRO-REC-PADA-000094,ASTRO-RF-PADA-v1.0.0,reference,1,false,94,shatabhisha,24,2,capricorn,310.0,313.333333
ASTRO-REC-PADA-000095,ASTRO-RF-PADA-v1.0.0,reference,1,false,95,shatabhisha,24,3,aquarius,313.333333,316.666667
ASTRO-REC-PADA-000096,ASTRO-RF-PADA-v1.0.0,reference,1,false,96,shatabhisha,24,4,pisces,316.666667,320.0
ASTRO-REC-PADA-000097,ASTRO-RF-PADA-v1.0.0,reference,1,false,97,purva_bhadrapada,25,1,aries,320.0,323.333333
ASTRO-REC-PADA-000098,ASTRO-RF-PADA-v1.0.0,reference,1,false,98,purva_bhadrapada,25,2,taurus,323.333333,326.666667
ASTRO-REC-PADA-000099,ASTRO-RF-PADA-v1.0.0,reference,1,false,99,purva_bhadrapada,25,3,gemini,326.666667,330.0
ASTRO-REC-PADA-000100,ASTRO-RF-PADA-v1.0.0,reference,1,false,100,purva_bhadrapada,25,4,cancer,330.0,333.333333
ASTRO-REC-PADA-000101,ASTRO-RF-PADA-v1.0.0,reference,1,false,101,uttara_bhadrapada,26,1,leo,333.333333,336.666667
ASTRO-REC-PADA-000102,ASTRO-RF-PADA-v1.0.0,reference,1,false,102,uttara_bhadrapada,26,2,virgo,336.666667,340.0
ASTRO-REC-PADA-000103,ASTRO-RF-PADA-v1.0.0,reference,1,false,103,uttara_bhadrapada,26,3,libra,340.0,343.333333
ASTRO-REC-PADA-000104,ASTRO-RF-PADA-v1.0.0,reference,1,false,104,uttara_bhadrapada,26,4,scorpio,343.333333,346.666667
ASTRO-REC-PADA-000105,ASTRO-RF-PADA-v1.0.0,reference,1,false,105,revati,27,1,sagittarius,346.666667,350.0
ASTRO-REC-PADA-000106,ASTRO-RF-PADA-v1.0.0,reference,1,false,106,revati,27,2,capricorn,350.0,353.333333
ASTRO-REC-PADA-000107,ASTRO-RF-PADA-v1.0.0,reference,1,false,107,revati,27,3,aquarius,353.333333,356.666667
ASTRO-REC-PADA-000108,ASTRO-RF-PADA-v1.0.0,reference,1,false,108,revati,27,4,pisces,356.666667,360.0
