_record_id,_dataset_id,_record_type,_version,_is_deleted,test_id,calculation_type,datetime_utc,latitude,longitude,ayanamsa_system,expected_tropical_longitude,expected_sidereal_longitude,expected_rashi,expected_nakshatra,expected_pada,source_reference,tolerance_deg,notes
ASTRO-REC-BMCAL-000011,ASTRO-BM-CALC-v0.1.0,reference,1,false,ASC-LONDON,ascendant_calc,2000-01-01T12:00:00Z,51.5074,-0.1278,lahiri,95.450000,95.150000,cancer,pushya,2,Calculated from latitude/longitude/time,0.100000,Ascendant calculation for London
ASTRO-REC-BMCAL-000012,ASTRO-BM-CALC-v0.1.0,reference,1,false,ASC-TOKYO,ascendant_calc,2000-01-01T12:00:00Z,35.6762,139.6503,lahiri,25.670000,25.370000,aries,ashwini,1,Calculated from latitude/longitude/time,0.100000,Ascendant calculation for Tokyo
ASTRO-REC-BMCAL-000013,ASTRO-BM-CALC-v0.1.0,reference,1,false,SIDEREAL-TROPICAL,sidereal_tropical,2000-01-01T12:00:00Z,0.0,0.0,lahiri,280.120000,279.820000,*,*,*,Lahiri ayanamsa 2000-01-01: 0.30 deg,0.001000,Verify sidereal = tropical - ayanamsa
ASTRO-REC-BMCAL-000014,ASTRO-BM-CALC-v0.1.0,reference,1,false,HOUSE-WHOLESIGN,house_calc,2000-01-01T12:00:00Z,40.7128,-74.0060,lahiri,*,*,*,*,*,Whole Sign house system from ascendant,0.100000,Verify Whole Sign house calculation
ASTRO-REC-BMCAL-000015,ASTRO-BM-CALC-v0.1.0,reference,1,false,HOUSE-PLACIDUS,house_calc,2000-01-01T12:00:00Z,40.7128,-74.0060,lahiri,*,*,*,*,*,Placidus house system,0.100000,Verify Placidus house calculation
ASTRO-REC-BMCAL-000016,ASTRO-BM-CALC-v0.1.0,reference,1,false,NAKSHATRA-BOUNDARY,nakshatra_calc,2000-01-01T12:00:00Z,0.0,0.0,lahiri,13.333333,13.033333,aries,bharani,1,13.333333 degrees = Ashwini end / Bharani start,0.001000,Nakshatra boundary at 13°20'
ASTRO-REC-BMCAL-000017,ASTRO-BM-CALC-v0.1.0,reference,1,false,PADA-BOUNDARY,pada_calc,2000-01-01T12:00:00Z,0.0,0.0,lahiri,3.333333,3.033333,aries,ashwini,2,3.333333 degrees = Pada 1 end / Pada 2 start,0.001000,Pada boundary at 3°20'
ASTRO-REC-BMCAL-000018,ASTRO-BM-CALC-v0.1.0,reference,1,false,COMBUST-EXACT,combustion_calc,2000-01-01T12:00:00Z,0.0,0.0,lahiri,280.120000,279.820000,*,*,*,Mercury exactly 14 degrees from Sun,0.001000,Mercury combustion orb = 14 degrees
ASTRO-REC-BMCAL-000019,ASTRO-BM-CALC-v0.1.0,reference,1,false,COMBUST-BOUNDARY,combustion_calc,2000-01-01T12:00:00Z,0.0,0.0,lahiri,280.120000,279.820000,*,*,*,Mercury exactly 14.001 degrees from Sun,0.001000,Mercury just outside combustion limit
ASTRO-REC-BMCAL-000020,ASTRO-BM-CALC-v0.1.0,reference,1,false,RETROGRADE-DETECT,retrograde_calc,2000-01-01T12:00:00Z,0.0,0.0,lahiri,265.230000,264.930000,*,*,*,Mercury retrograde detection from speed,0.001000,Retrograde when speed < 0
ASTRO-REC-BMCAL-000021,ASTRO-BM-CALC-v0.1.0,reference,1,false,AYANAMSA-2026,ayanamsa_calc,2026-01-01T12:00:00Z,0.0,0.0,lahiri,*,*,*,*,*,Lahiri ayanamsa for 2026-01-01,0.010000,Verify ayanamsa calculation for current epoch
ASTRO-REC-BMCAL-000022,ASTRO-BM-CALC-v0.1.0,reference,1,false,AYANAMSA-1900,ayanamsa_calc,1900-01-01T12:00:00Z,0.0,0.0,lahiri,*,*,*,*,*,Lahiri ayanamsa for 1900-01-01,0.010000,Verify ayanamsa calculation for historical epoch
ASTRO-REC-BMCAL-000023,ASTRO-BM-CALC-v0.1.0,reference,1,false,SUN-DECLINATION,sun_declination,2000-01-01T12:00:00Z,0.0,0.0,lahiri,*,*,*,*,*,Sun declination at J2000.0,0.010000,Verify declination calculation
ASTRO-REC-BMCAL-000024,ASTRO-BM-CALC-v0.1.0,reference,1,false,JD-CONVERSION,julian_day,2000-01-01T12:00:00Z,0.0,0.0,lahiri,*,*,*,*,*,Julian Day for J2000.0 epoch,0.000001,Verify JD = 2451545.0
ASTRO-REC-BMCAL-000025,ASTRO-BM-CALC-v0.1.0,reference,1,false,SIDEREAL-POSITION,sidereal_position,2000-01-01T12:00:00Z,0.0,0.0,lahiri,280.120000,279.820000,capricorn,uttara_ashadha,3,Verify sidereal = tropical - ayanamsa,0.001000,Sidereal position calculation
